status,product_area,response,justification,request_type
escalated,interviews,This issue is related to interviews. It should be escalated to a human support specialist because the ticket asks for an account or business specific action that should be handled by human support. I cannot safely resolve it from the provided support corpus alone.,Classified as product_issue in interviews. Top document was 'I made changes to Test content. When does it take effect for the Candidates?' with score 0.081. Decision was escalated because The ticket asks for an account or business specific action that should be handled by human support.,product_issue
escalated,general_support,This issue is related to general support. It should be escalated to a human support specialist because the ticket appears to be a bug and does not have enough clear corpus support for a direct answer. I cannot safely resolve it from the provided support corpus alone.,Classified as bug in general support. Top document was 'Claude Help Center' with score 0.084. Decision was escalated because The ticket appears to be a bug and does not have enough clear corpus support for a direct answer.,bug
escalated,interviews,This issue is related to interviews. It should be escalated to a human support specialist because the ticket asks for an account or business specific action that should be handled by human support. I cannot safely resolve it from the provided support corpus alone.,Classified as product_issue in interviews. Top document was 'Clone an AI Interviewer Prerequisite Cloning an AI interviewer' with score 0.063. Decision was escalated because The ticket asks for an account or business specific action that should be handled by human support.,product_issue
replied,billing,"Based on the relevant support article, this issue falls under billing. 2.  You must have a monthly subscription for one of the following plans: - Individual Monthly - Basic - Interview Monthly Follow these steps to pause your subscription: - Access Subscription Settings - Click on the profile icon in the top-right corner of the page and select Settings from the dropdown menu. - Navigate to the Billing section under Subscription. - Initiate Pause Subscription - Click the Cancel Plan button. The UI will display a prompt about the new Pause Subscription feature. Source: https://support.hackerrank.com/articles/5157311476-pause-subscription",Classified as product_issue in billing. Top document was 'Pause Subscription' with score 0.350. Decision was replied because The issue is supported by relevant corpus evidence and does not require human escalation.,product_issue
escalated,platform_availability,This issue is related to platform availability. It should be escalated to a human support specialist because the ticket reports a broad platform availability issue that needs human review. I cannot safely resolve it from the provided support corpus alone.,Classified as bug in platform availability. Top document was 'Law Enforcement Requests' with score 0.106. Decision was escalated because The ticket reports a broad platform availability issue that needs human review.,bug
escalated,fraud_security,This issue is related to fraud security. It should be escalated to a human support specialist because the ticket is sensitive or account specific and should be reviewed by human support. I cannot safely resolve it from the provided support corpus alone.,Classified as product_issue in fraud security. Top document was 'Visa Consumer Support' with score 0.041. Decision was escalated because The ticket is sensitive or account specific and should be reviewed by human support.,product_issue
escalated,additional_resources,This issue is related to additional resources. It should be escalated to a human support specialist because the ticket appears to be a bug and does not have enough clear corpus support for a direct answer. I cannot safely resolve it from the provided support corpus alone.,Classified as bug in additional resources. Top document was 'Create a Resume with Resume Builder' with score 0.347. Decision was escalated because The ticket appears to be a bug and does not have enough clear corpus support for a direct answer.,bug
escalated,certifications,This issue is related to certifications. It should be escalated to a human support specialist because the ticket asks for an account or business specific action that should be handled by human support. I cannot safely resolve it from the provided support corpus alone.,Classified as product_issue in certifications. Top document was 'Download Certificate' with score 0.199. Decision was escalated because The ticket asks for an account or business specific action that should be handled by human support.,product_issue
replied,general_support,"Based on the relevant support article, this issue falls under general support. Download the dispute guidelines ------------------------------------------------------------------------ Provide accurate information, swiftly. A cardholder contacts their issuer to question a charge on their billing statement. Your acquirer contacts you for an accurate copy of the transaction record. Promptly fax or mail an accurate, legible copy to keep the process on track. ------------------------------------------------------------------------ Source: https://www.visa.co.in/support/small-business/dispute-resolution.html",Classified as product_issue in general support. Top document was 'Dispute Resolution' with score 0.259. Decision was replied because The issue is supported by relevant corpus evidence and does not require human escalation.,product_issue
replied,safeguards,"Based on the relevant support article, this issue falls under safeguards. All Program participants are required to sign a non-disclosure agreement to protect Program confidentiality as a condition for joining. You may publicly disclose: - The existence of Anthropic's Model Safety Bug Bounty Program. - Your participation as a selected participant in the Program. You may not disclose without express permission: - Any jailbreaks/vulnerabilities (even resolved ones) outside of the Program without express consent from Anthropic. - The testing question set. - Details about the classifiers and. Source: https://support.claude.com/en/articles/12119250-model-safety-bug-bounty-program","Classified as bug in safeguards. Top document was 'Model Safety Bug Bounty Program' with score 0.225. Decision was replied because The ticket involves a sensitive topic, but the corpus provides public guidance that can be safely shared.",bug
replied,privacy_and_legal,"Based on the relevant support article, this issue falls under privacy and legal. As per industry standard, Anthropic uses a variety of robots to gather data from the public web for model development, to search the web, and to retrieve web content at users’ direction.  Anthropic uses different robots to enable website owner transparency and choice.  Below is information on the three robots that Anthropic uses and how to set your site preferences to enable those you want to access your content and limit those you don’t. As part of our mission to build safe and reliable frontier systems and. Source: https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler","Classified as product_issue in privacy and legal. Top document was 'Does Anthropic crawl data from the web, and how can site owners block the crawler?' with score 0.194. Decision was replied because The issue is supported by relevant corpus evidence and does not require human escalation.",product_issue
replied,emergency_services,"Based on the relevant support article, this issue falls under emergency services. Always double-check the information on the sales receipts, including the currency you are being charged, before you make payment. Keep a copy of all sales receipts. Go through your receipts and make sure they reconcile with your monthly statement. If you see a charge you don’t recognise or if you notice any inconsistencies, contact your bank immediately. ------------------------------------------------------------------------ No matter where you are in the world, Visa’s Global Customer Assistance Services (GCAS). Source: https://www.visa.co.in/support/consumer/travel-support.html",Classified as product_issue in emergency services. Top document was 'Visa Travel Services | Visa Travel Credit Card Support' with score 0.158. Decision was replied because The issue is supported by relevant corpus evidence and does not require human escalation.,product_issue
replied,privacy,"Based on the relevant support article, this issue falls under privacy. - Your data is used solely to make Claude better for everyone - we do not use such personal data to contact people, build profiles about them, to try to sell or market anything to them, or to sell the information itself to any third party. - You maintain full control and can adjust your privacy settings at any time. - Your incognito chats are not used to improve Claude, even if you have enabled Model Improvement in your Privacy Settings. Learn more about incognito chats. Source: https://support.claude.com/en/articles/8325621-i-would-like-to-input-sensitive-data-into-my-chats-with-claude-who-can-view-my-conversations",Classified as product_issue in privacy. Top document was 'I would like to input sensitive data into my chats with Claude. Who can view my conversations?' with score 0.107. Decision was replied because The ticket asks for public support guidance and the retrieved article metadata indicates relevant corpus support.,product_issue
replied,general_support,"I am sorry, but this request is outside the scope of this support agent. I can only help with support issues related to HackerRank, Claude, or Visa using the provided support documents.",Classified as invalid in general support. Top document was 'Uploading files to Claude' with score 0.121. Decision was replied because The ticket is outside the supported domains and can be answered with a brief out of scope response.,invalid
escalated,fraud_security,This issue is related to fraud security. It should be escalated to a human support specialist because the retrieved support document does not contain enough body content to answer safely. I cannot safely resolve it from the provided support corpus alone.,Classified as product_issue in fraud security. Top document was 'Consumer' with score 0.146. Decision was escalated because The retrieved support document does not contain enough body content to answer safely.,product_issue
escalated,amazon_bedrock,This issue is related to amazon bedrock. It should be escalated to a human support specialist because the ticket appears to be a bug and does not have enough clear corpus support for a direct answer. I cannot safely resolve it from the provided support corpus alone.,Classified as bug in amazon bedrock. Top document was 'What AWS Regions are Claude models available in Amazon Bedrock?' with score 0.174. Decision was escalated because The ticket appears to be a bug and does not have enough clear corpus support for a direct answer.,bug
escalated,user_management,This issue is related to user management. It should be escalated to a human support specialist because the ticket asks for an account or business specific action that should be handled by human support. I cannot safely resolve it from the provided support corpus alone.,Classified as product_issue in user management. Top document was 'SkillUp Employee Platform' with score 0.116. Decision was escalated because The ticket asks for an account or business specific action that should be handled by human support.,product_issue
replied,claude_for_education,"Based on the relevant support article, this issue falls under claude for education. 7. Toggle the state to On. 1. In Canvas, go to Admin -> Settings -> Apps. 2. Click ""View App Configurations"" then select ""+ App."" 3. Select Configuration Type “By Client ID.” 4. Input the Client ID generated for your developer key (from Step 6 under Creating Claude LTI Developer Key in Canvas). 5. Click ""Install"" and refresh the course page. 1. In Claude for Education, sign in as an administrator. 2. Navigate to Organization settings > Connectors. Source: https://support.claude.com/en/articles/11725453-set-up-the-claude-lti-in-canvas-by-instructure",Classified as product_issue in claude for education. Top document was 'Set up the Claude LTI in Canvas by Instructure' with score 0.251. Decision was replied because The issue is supported by relevant corpus evidence and does not require human escalation.,product_issue
escalated,merchant_support,This issue is related to merchant support. It should be escalated to a human support specialist because the retrieved support document does not contain enough body content to answer safely. I cannot safely resolve it from the provided support corpus alone.,Classified as product_issue in merchant support. Top document was 'Merchant' with score 0.284. Decision was escalated because The retrieved support document does not contain enough body content to answer safely.,product_issue
